customer_id,age,monthly_charges,tenure_months,contract_type,churn
1,56,109.2,46,two-year,1
2,69,83.11,2,month-to-month,0
3,46,99.48,0,month-to-month,0
4,32,70.26,4,one-year,0
5,60,77.69,13,one-year,0
6,25,69.25,26,two-year,0
7,38,39.52,8,one-year,0
8,56,92.25,14,two-year,0
9,36,48.08,41,month-to-month,0
10,40,22.43,50,month-to-month,0
11,28,84.55,62,one-year,0
12,28,37.71,51,two-year,0
13,41,114.05,3,two-year,0
14,70,115.39,22,month-to-month,0
15,53,111.49,14,month-to-month,1
16,57,57.02,42,one-year,0
17,41,21.55,28,month-to-month,0
18,20,112.83,35,two-year,0
19,39,62.82,12,two-year,0
20,70,116.67,31,month-to-month,0
21,19,116.36,70,one-year,0
22,41,105.3,58,one-year,0
23,61,49.44,27,month-to-month,0
24,47,58.51,65,two-year,0
25,55,105.11,41,one-year,0
26,19,51.69,44,two-year,0
27,38,36.95,61,month-to-month,0
28,50,75.68,56,two-year,0
29,29,113.62,5,month-to-month,1
30,39,89.6,27,month-to-month,1
31,61,77.01,27,two-year,0
32,42,29.72,43,month-to-month,0
33,66,81.5,29,month-to-month,0
34,44,119.01,61,two-year,0
35,59,34.01,61,two-year,0
36,45,71.83,0,one-year,1
37,33,107.74,26,one-year,0
38,32,94.08,61,month-to-month,0
39,64,89.7,2,month-to-month,1
40,68,90.25,69,month-to-month,0
41,61,55.95,71,one-year,0
42,72,49.36,26,one-year,0
43,69,100.94,8,one-year,0
44,74,101.01,61,one-year,0
45,20,106.71,36,month-to-month,1
46,54,111.32,50,month-to-month,0
47,68,71.13,43,month-to-month,0
48,24,70.15,23,one-year,0
49,38,99.83,58,month-to-month,1
50,26,85.0,31,two-year,0
51,56,90.2,51,month-to-month,0
52,35,99.58,61,month-to-month,1
53,21,109.0,57,month-to-month,0
54,42,53.8,51,one-year,0
55,31,57.56,11,one-year,0
56,67,29.4,38,month-to-month,0
57,26,77.83,1,month-to-month,0
58,43,23.59,2,one-year,0
59,70,66.56,55,month-to-month,1
60,19,74.26,58,two-year,0
61,37,48.65,1,one-year,1
62,45,79.08,1,month-to-month,1
63,64,23.05,53,month-to-month,0
64,24,23.73,0,two-year,0
65,61,102.26,18,month-to-month,1
66,25,56.02,1,month-to-month,1
67,64,32.71,52,two-year,0
68,52,72.22,43,two-year,0
69,31,97.0,31,two-year,0
70,34,41.58,69,one-year,0
71,53,82.29,31,month-to-month,1
72,67,28.53,67,month-to-month,0
73,57,25.17,54,one-year,0
74,21,73.14,55,one-year,0
75,19,74.06,16,month-to-month,1
76,23,83.74,37,two-year,0
77,71,92.61,23,month-to-month,1
78,59,117.59,68,month-to-month,0
79,21,71.63,69,month-to-month,0
80,71,52.3,10,month-to-month,1
81,46,99.52,15,month-to-month,1
82,35,47.08,58,month-to-month,0
83,43,63.9,69,month-to-month,1
84,61,27.85,2,one-year,0
85,51,22.54,19,one-year,0
86,27,116.26,58,one-year,1
87,53,103.6,35,two-year,0
88,31,89.6,18,month-to-month,0
89,48,60.9,66,month-to-month,1
90,65,37.33,18,two-year,0
91,32,35.64,19,month-to-month,0
92,25,45.02,70,two-year,0
93,31,74.92,51,month-to-month,1
94,40,91.46,32,two-year,0
95,74,86.02,39,month-to-month,1
96,57,47.99,38,two-year,0
97,38,115.49,0,one-year,0
98,33,93.79,10,two-year,0
99,62,75.44,56,month-to-month,0
100,35,81.17,49,one-year,0
101,64,61.96,22,two-year,0
102,70,44.77,30,one-year,0
103,41,55.6,41,one-year,0
104,43,95.78,6,one-year,0
105,42,21.44,15,month-to-month,0
106,62,31.61,59,one-year,0
107,58,24.6,1,one-year,1
108,46,24.07,0,two-year,0
109,32,105.55,47,month-to-month,0
110,62,90.37,11,month-to-month,1
111,18,67.42,68,two-year,0
112,42,29.78,36,two-year,0
113,24,69.16,31,month-to-month,1
114,26,67.35,8,one-year,0
115,41,37.32,18,month-to-month,1
116,18,63.39,47,month-to-month,0
117,61,59.85,2,month-to-month,1
118,25,81.59,19,month-to-month,0
119,41,83.51,23,one-year,0
120,28,24.53,53,month-to-month,0
121,68,57.46,32,two-year,0
122,34,82.59,23,two-year,0
123,25,70.31,71,one-year,0
124,52,105.65,35,one-year,0
125,52,85.87,37,month-to-month,0
126,50,36.29,24,two-year,0
127,22,27.06,17,one-year,0
128,59,84.24,65,month-to-month,1
129,56,22.65,53,two-year,0
130,58,78.58,34,two-year,0
131,45,114.02,60,two-year,0
132,24,77.55,40,one-year,0
133,26,58.82,32,one-year,0
134,25,84.33,67,month-to-month,0
135,29,65.83,32,two-year,0
136,51,74.56,13,two-year,0
137,50,114.15,20,month-to-month,1
138,65,58.61,47,month-to-month,1
139,72,116.12,19,month-to-month,1
140,40,110.54,7,two-year,1
141,41,39.58,6,two-year,0
142,54,26.94,66,month-to-month,0
143,52,30.08,16,one-year,0
144,61,21.82,32,month-to-month,0
145,57,29.44,47,two-year,0
146,39,88.3,58,two-year,0
147,44,27.12,21,two-year,0
148,52,51.9,29,month-to-month,0
149,18,104.49,37,month-to-month,1
150,52,22.33,50,month-to-month,0
